model,rep,fold,accuracy,macro_f1,qwk,balanced_acc,mae_level,mae_months,tolerance_acc
svm,tfidf,21,0.59,0.4323438580377506,0.3544600938967136,0.4690808009250212,0.57,3.88,0.8533333333333334
logreg,structured,21,0.33666666666666667,0.31512851776766004,0.25907590759075905,0.45968503680541983,0.93,6.426666666666667,0.75
logreg,tfidf,21,0.47,0.37787251482132767,0.2831325301204819,0.46758507181942544,0.7366666666666667,5.086666666666667,0.8133333333333334
random_forest,structured,21,0.56,0.3585585383451237,0.3308176100628931,0.3874976589472998,0.5866666666666667,4.04,0.8566666666666667
random_forest,tfidf,21,0.68,0.3636856385161413,0.3008403361344538,0.37673034330011074,0.44,3.013333333333333,0.8866666666666667
lightgbm,structured,21,0.5966666666666667,0.3797367014885497,0.2442748091603053,0.372937329001368,0.59,4.08,0.8266666666666667
lightgbm,tfidf,21,0.6933333333333334,0.40041473903004443,0.40157480314960625,0.39589389534883723,0.41333333333333333,2.8533333333333335,0.8966666666666666
baseline_majority,-,22,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1633333333333336,0.8566666666666667
baseline_random,-,22,0.49666666666666665,0.2157274581779779,-0.07156555647893637,0.219098129884016,0.81,5.466666666666667,0.7266666666666667
svm,structured,22,0.4,0.3737906991336958,0.2984874187164265,0.4979639446359575,0.8233333333333334,5.823333333333333,0.8033333333333333
svm,tfidf,22,0.62,0.45837005899948463,0.3506282143089643,0.4982329886098932,0.54,3.7,0.8533333333333334
logreg,structured,22,0.38333333333333336,0.35219910343472793,0.27563661390227123,0.5060031521539139,0.8566666666666667,5.966666666666667,0.7933333333333333
logreg,tfidf,22,0.5433333333333333,0.44953637760089377,0.35165975103734437,0.5395433889820418,0.65,4.48,0.83
random_forest,structured,22,0.6166666666666667,0.372494311935987,0.23173902765739507,0.4034973980844069,0.5333333333333333,3.683333333333333,0.8666666666666667
random_forest,tfidf,22,0.67,0.3462454627949183,0.1959269662921349,0.35432657425440106,0.47,3.21,0.8666666666666667
lightgbm,structured,22,0.5833333333333334,0.3753154491358618,0.27069780182154346,0.37059592372342975,0.5866666666666667,4.07,0.84
lightgbm,tfidf,22,0.67,0.3980548121716721,0.2875132555673383,0.38685312281944195,0.45666666666666667,3.15,0.8766666666666667
baseline_majority,-,23,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,23,0.5,0.26774239110625114,-0.009700587631750635,0.2679765853633135,0.7966666666666666,5.376666666666667,0.73
svm,structured,23,0.36333333333333334,0.3586376525719607,0.2881904077448265,0.4821308966194191,0.9033333333333333,6.36,0.7633333333333333
svm,tfidf,23,0.6833333333333333,0.5465093490121299,0.40866026578495585,0.578616032373801,0.47333333333333333,3.263333333333333,0.8633333333333333
logreg,structured,23,0.39,0.3627205011916555,0.287241211050956,0.5020511890875764,0.8433333333333334,5.91,0.7933333333333333
logreg,tfidf,23,0.5733333333333334,0.48949729343944626,0.37788387165604254,0.5790140655755631,0.61,4.266666666666667,0.8466666666666667
random_forest,structured,23,0.61,0.3702858697178155,0.23735969881425711,0.3765759413501495,0.57,3.9133333333333336,0.8366666666666667
random_forest,tfidf,23,0.71,0.42382403326873175,0.3486053030651165,0.41049191761526366,0.4033333333333333,2.756666666666667,0.8866666666666667
lightgbm,structured,23,0.6166666666666667,0.3835285934963194,0.21436396001643165,0.3734893126620773,0.58,4.0,0.8266666666666667
lightgbm,tfidf,23,0.6966666666666667,0.4436549582351681,0.28752374920835977,0.41459128531853073,0.43333333333333335,2.94,0.8733333333333333
baseline_majority,-,24,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,24,0.4766666666666667,0.24620264453575913,-0.01954120645709434,0.24663990655495266,0.8266666666666667,5.6033333333333335,0.7266666666666667
svm,structured,24,0.35,0.3447758280399706,0.28102469086075643,0.4834678715931222,0.9333333333333333,6.49,0.76
svm,tfidf,24,0.6,0.45146599575991625,0.41186191148634443,0.47490454363198953,0.55,3.756666666666667,0.86
logreg,structured,24,0.3233333333333333,0.30555769954365214,0.21516555542999205,0.4645652813505661,0.9366666666666666,6.526666666666666,0.7833333333333333
logreg,tfidf,24,0.54,0.46314745956933484,0.3574828133262824,0.5494644126422895,0.6533333333333333,4.463333333333333,0.8266666666666667
random_forest,structured,24,0.59,0.4058827858855196,0.31531439121961236,0.4335946043231027,0.5633333333333334,3.9,0.8566666666666667
random_forest,tfidf,24,0.6766666666666666,0.37755618601285446,0.3347212165097756,0.3814635645028588,0.43333333333333335,2.9566666666666666,0.89
lightgbm,structured,24,0.6066666666666667,0.4509071149594821,0.3828560321368407,0.44742853627927803,0.54,3.776666666666667,0.86
lightgbm,tfidf,24,0.7033333333333334,0.4237678993793124,0.37631302521008403,0.40351047058394696,0.4066666666666667,2.7866666666666666,0.8933333333333333
